receipt_number,datetime
293,2024-11-18 18:26:00
294,2024-11-21 16:39:00
295,2024-11-23 17:21:00
296,2024-11-25 21:25:00
297,2024-11-27 22:46:00
298,2024-12-02 21:08:00
299,2024-12-03 21:44:00
300,2024-12-04 21:07:00
301,2024-12-07 16:09:00
302,2024-12-10 19:07:00
303,2024-12-12 16:41:00
304,2024-12-15 22:51:00
305,2024-12-16 20:44:00
306,2024-12-17 21:58:00
307,2024-12-20 13:52:00
308,2024-12-22 17:08:00
309,2024-12-23 22:53:00
310,2024-12-25 14:17:00
311,2024-12-26 19:26:00
312,2024-12-27 11:51:00
313,2024-12-30 17:56:00
314,2025-01-01 22:06:00
315,2025-01-03 22:12:00
316,2025-01-07 14:27:00
317,2025-01-07 21:17:00
318,2025-01-09 10:32:00
319,2025-01-11 11:06:00
320,2025-01-11 23:24:00
321,2025-01-15 14:43:00
322,2025-01-16 18:30:00
323,2025-01-20 21:53:00
324,2025-01-21 20:29:00
325,2025-01-24 14:36:00
326,2025-01-26 21:22:00
327,2025-01-27 22:00:00
328,2025-01-29 21:11:00
329,2025-02-01 23:24:00
330,2025-02-04 15:41:00
331,2025-02-06 14:21:00
332,2025-02-07 18:02:00
333,2025-02-09 18:02:00
334,2025-02-12 22:05:00
335,2025-02-18 20:57:00
336,2025-02-21 15:53:00
337,2025-02-25 15:01:00
338,2025-02-26 16:22:00
339,2025-03-01 15:10:00
340,2025-03-04 22:33:00
341,2025-03-06 16:45:00
342,2025-03-08 21:38:00
343,2025-03-10 22:30:00
344,2025-03-11 11:23:00
345,2025-03-12 20:16:00
346,2025-03-14 16:58:00
347,2025-03-16 18:16:00
348,2025-03-18 15:22:00
349,2025-03-20 13:16:00
350,2025-03-23 17:08:00
351,2025-03-25 19:40:00
352,2025-03-28 13:54:00
353,2025-03-31 12:17:00
354,2025-04-01 16:35:00
355,2025-04-03 15:22:00
356,2025-04-05 20:24:00
357,2025-04-06 16:16:00
358,2025-04-08 14:35:00
359,2025-04-09 21:14:00
360,2025-04-11 14:08:00
361,2025-04-13 19:12:00
362,2025-04-15 20:40:00
363,2025-04-16 17:53:00
364,2025-04-20 12:09:00
365,2025-04-22 18:46:00
366,2025-04-26 15:30:00
367,2025-04-29 15:21:00
368,2025-05-01 18:32:00
369,2025-05-04 17:16:00
370,2025-05-06 19:05:00
371,2025-05-09 14:56:00
372,2025-05-12 22:51:00
373,2025-05-15 15:18:00
374,2025-05-17 16:19:00
375,2025-05-18 19:23:00
376,2025-05-21 21:55:00
377,2025-05-24 15:09:00
378,2025-05-24 22:28:00
379,2025-05-24 13:23:00
380,2025-05-25 22:34:00
381,2025-05-28 19:38:00
382,2025-05-29 17:35:00
383,2025-05-31 16:38:00
384,2025-06-01 21:54:00
385,2025-06-03 23:25:00
386,2025-06-07 15:59:00
387,2025-06-10 17:38:00
388,2025-06-12 20:06:00
389,2025-06-14 15:59:00
390,2025-06-23 12:29:00
391,2025-06-26 15:21:00
392,2025-06-28 14:33:00
393,2025-06-29 19:58:00
