receipt_number,item_name,item_id,unit_price,quantity,unit,pre_discount_sum
17,Bärkasse papper,2,3.5,1.0,st,3.5
17,Kycklfilébricka,2307127300000,89.0,0.82,kg,73.07
17,Levain,7311070008159,39.9,1.0,st,39.9
17,Lårfilé CriollaBBQ,2307128400000,79.9,0.95,kg,76.06
17,Nivea Rakgel 200ml,4005808222933,34.9,1.0,st,34.9
17,Pannkakor,7310130010866,49.9,1.0,st,49.9
17,Sirap ljus,7318690140276,15.9,1.0,st,15.9
17,Standardmjölk 3%,7318690115144,12.9,2.0,st,25.8
18,Banan Chiquita,4011,24.9,0.83,kg,20.67
18,chips Tryffelmajon,7340005406449,10.0,1.0,st,24.9
18,Flapstek,2372786800000,109.0,1.06,kg,115.21
18,Färskkorv Kolbasz,7300209556005,36.9,1.0,st,36.9
18,Iskaffe Latte,4100290025083,19.9,1.0,st,19.9
18,Kvarg Hallon,7310867548656,25.0,1.0,st,25.0
18,Mar tvådelad grill,2307125100000,69.0,0.86,kg,59.2
18,Mar tvådelad grill,2307125100000,69.0,0.74,kg,50.78
18,Salsiccia Naturell,7340012503216,24.9,1.0,st,24.9
18,Standardmjölk 3%,7318690115144,12.9,2.0,st,25.8
18,Stockholm B.kaffe,7310731102021,39.9,1.0,st,56.9
19,Aluminiumfolie,7318690085423,24.9,1.0,st,24.9
19,Banan Chiquita,4011,24.9,0.39,kg,9.71
19,Basmatiris,7318690482222,56.33,3.0,st,215.7
19,Bärkasse papper,2,3.5,1.0,st,3.5
19,Choklad Ljus Karam,8717677336654,19.9,1.0,st,19.9
19,Delichips Bryntsmö,7340005406050,10.0,1.0,st,24.9
19,Gouda i skivor,7318690081609,106.9,1.0,st,106.9
19,Iskaffe Latte,4100290025083,19.9,1.0,st,19.9
19,Jordn.smör Creamy,5707381019298,81.51,1.0,st,95.9
19,Levain,7311070008159,39.9,1.0,st,39.9
19,Original kakor,7310520009326,10.0,2.0,st,35.8
19,Smör Normalsaltat,7318690052678,53.9,1.0,st,53.9
19,Standardmjölk 3%,7318690115144,12.9,2.0,st,25.8
20,AXA Havregryn,7310130321122,10.0,1.0,st,10.0
20,Banan Chiquita,4011,24.9,0.68,kg,16.81
20,Choklad Ljus Karam,8717677336654,19.9,1.0,st,19.9
20,Choklad Ljus Nouga,8717677336630,19.9,1.0,st,19.9
20,Excellence Havssal,3046920029674,11.0,1.0,st,26.9
20,Standardmjölk 3%,7318690115144,12.9,2.0,st,25.8
20,Swebar Päronglass,7350028544905,6.67,3.0,st,68.7
21,AXA Havregryn,7310130321122,10.0,1.0,st,10.0
21,Banan Chiquita,4011,24.9,0.49,kg,12.2
21,Choklad Ljus Karam,8717677336654,19.9,1.0,st,19.9
21,Entrecoté,2386136000000,139.0,1.21,kg,167.5
21,Fiori,7350027794929,11.0,1.0,st,11.0
21,Färsk Nötkorv,7350041427292,29.9,1.0,st,29.9
21,Kulörtvätt,7318690101154,13.9,1.0,st,13.9
21,Kvarg vanilj 0.2%,4016241050526,39.9,1.0,st,39.9
21,Morötter i påse,7331398010016,12.0,1.0,st,12.0
21,Musslor i vatten,7311171008300,19.9,2.0,st,39.8
21,Potchips Backy BBQ,7350045594952,10.0,1.0,st,22.9
21,Risgröt Felix,7310090755692,6.9,2.0,st,13.8
21,Soft Centres Cooki,5056357900697,17.9,1.0,st,17.9
21,Standardmjölk 3%,7318690115144,12.9,1.0,st,12.9
21,Svartpeppar Hel,7311311004445,11.9,1.0,st,11.9
21,Tonfisk i vatten,7318690501992,10.0,3.0,st,30.0
22,Amer banan pannkak,8714801411485,12.9,1.0,st,12.9
