article_number,article_name,category
9002490215415,*Energy Drink sf,
7318690164333,*Kaffefilt vita 1x4,
9900,Kartong Monst shot,
7318690106593,Ägg M/L,
4048,*Lime,
7318690161981,Nötfärs 12%,
2319312200000,Ryggbiff mörmarin.,
8711327374607,Coconutterly Cara,
7310960042716,Hamburgare 180g,
6111259870055,Körsbärstomat i ask,
7350037195150,Lammkorv,
2319261200000,Minutbiff,
9011,*Muffins,
4834,Potatis fast,
7315360061503,*Delicatoboll 6-p,
2330071900000,Entrecôte,
2328010100000,Nötfärs 20%,
7350002400333,Olivolja classico,
7311310035341,*Teriyaki Sauce,
5903240555017,Champinjoner i ask,
7310060005154,Frigående M-L,
8722700132523,Glass Sandwich 6-p,
7318690166771,*Pannkakor,
7318690136170,*Taco kryddmix,
7318690081173,Basmati ris,
2372723500000,Nötstek nätad,
7350002405192,Olivolja Novello,
6970373280030,Vitlök nät,
2320019600000,B-Fransyska skin,
3182,*Citron ICA,
2340375300000,Hushållsost 26%,
7318690050919,*Kikärtor,
7318690079873,Mozzarella,
7310861040859,*Protein Bar Bluebe,
7340063016451,Roslagsgrill chili,
2307111100000,Kycklingfile skiv,
7318690013419,*Tomater passerade,
73150237,Vätskeers Sv vinb,
7318690176176,Bakpotatis,
7350126085744,*Blueberry Lemonade,
5449000018427,Coke Creation,
8714789584294,Colgate Tandb 1p,
7310130003561,Gammald Idealmakar,
7300300045835,Grillkorv tjock 4p,
7317731115389,*Havregryn,
2332762600000,Kycklsteak ti/sv/c,
7318690046790,*Morot,
7313134042987,Nitrilhandske L,
2320272100000,Nötstek fransyska,
5029053579160,Orig näsduk boks,
7318690028369,*Penne Rigate,
5000159541336,Snickersglass,
7318690505327,Sv kallpress äpple,
7331374151016,Basilika eko,
7310861000099,Grekisk yoghurt,
7340063016307,Roslagsgrill storpa,
7318690052036,Valnötskärnor,
7350004661480,Chili cheese nugge,
7318690031598,*Tomatpure tub,
2319124000000,Fläskytterfilé,
7318690081661,Handtvål Aqua Fres,
2354875800000,Ojämna bacon skivor,
54492653,Powerade Mountain,
7310070154101,Apotek. Påskmust,
7310890201191,Blåbärspaj,
9293,*Bubbies,
7340005406524,*Cheesy Burger,
7318690504078,Hoisinsås,
7350011740178,Minivårrullar,
7350002403761,Pecorino Riven,
7310070382306,Pepsi Max 1.5l,
7350027791850,Ricotta,
7340012500536,sals färs,
4662,Schalottenlök,
7340005406579,*Super cheez onion,
9009,*Bullar,
7318690144373,*ICA Tagliatelle,
4680,Paprika Gul,
7340063012606,Grillkorv,
7350027795520,*Mozzarella,
7310520011770,*Choco Crunch,
2372722300000,Fransyska i bit,
7311070006315,*Mini Snäcka,
7310520006851,*Smash påse,
5449000131843,*Cola Zero 2l,
7318690502029,Juice äpp/cit/ing,
7318690508007,Paj Kyckl&Broccol,
7311379532287,Bistro Brioche Hot,
8718951197046,*Flytande tvål Milk,
8718951197060,*Flyt Tvål Milk & H,
7318690127109,Grana Padano 12mån,
7310130012587,*Müsli Frukt & Bär,
9008,*maple pecan,
7350037193767,Papa,
7310865078353,Turkisk matyog 10%,
7318690037552,Ärter m fläsk ICA,
7310350118359,*Kexchoklad 8-pack,
7313940012921,Str bröstfilé ci&v,
7312599044529,Strumpa 43/47,
7313307801564,basilka,
7313940012600,Kycklårfilé strim,
7310401047430,Läsk Zero,
7350078576314,Närvärpt ägg 30-pck,
93250,Banan fairtrade,
7312690207571,ChokladBrownie,
7318690490012,Ravioli 4 ostar,
7318690505198,Ravioli gorgonzola,
7310867524001,Tzatziki,
5449000133335,*CocaCola Zero150cl,
6407850056661,*Plättar,
2320263500000,Rostbiff bit nöt,
7311372193249,*Korvbröd 8-pack,
7331642042909,Bikarbonatpasta,
7318690490029,Tortell ost/skinka,
7350025544502,*Vitlöks salami,
